Manufacturer,Model Name,Category,Screen Size,Screen,CPU,RAM,Storage,GPU,Operating System,Operating System Version,Weight,Price
MSI,MSI_535,Workstation,"13.8""",Retina,AMD Ryzen 5,4GB,256GB SSD,NVIDIA RTX 3050,Linux,Linux 11,2.15,1322.95
Lenovo,Lenovo_761,Workstation,"17.2""",Retina,AMD Ryzen 7,8GB,256GB SSD,NVIDIA RTX 4060,Windows,Windows 1,1.76,1417.56
Acer,Acer_352,Student,"13.1""",OLED,Intel i7,16GB,256GB SSD,NVIDIA RTX 4060,Linux,Linux 3,1.96,695.11
Asus,Asus_918,Workstation,"14.9""",LED,Intel i9,4GB,1TB SSD,NVIDIA GTX 1650,macOS,macOS 9,1.04,1571.11
HP,HP_439,Student,"14.9""",OLED,Intel i9,4GB,512GB SSD,Integrated,macOS,macOS 8,2.89,424.41
Apple,Apple_921,Workstation,"17.2""",LED,Intel i9,8GB,256GB SSD,NVIDIA RTX 4060,macOS,macOS 8,2.43,1429.38
Apple,Apple_801,Workstation,"14.7""",LED,AMD Ryzen 5,32GB,256GB SSD,Integrated,Windows,Windows 9,1.74,1124.86
Samsung,Samsung_571,Ultrabook,"13.9""",Retina,Intel i7,16GB,128GB SSD,NVIDIA RTX 3050,Windows,Windows 10,1.9,826.64
Dell,Dell_127,Gaming,"15.7""",LED,Intel i3,32GB,1TB HDD,NVIDIA RTX 3050,macOS,macOS 11,2.4,1265.37
Lenovo,Lenovo_868,Workstation,"15.4""",OLED,AMD Ryzen 7,16GB,512GB SSD,Integrated,Linux,Linux 10,1.06,1483.78
Asus,Asus_790,Gaming,"14.4""",Retina,Intel i9,8GB,1TB HDD,AMD Radeon,Linux,Linux 11,1.51,1227.15
Lenovo,Lenovo_185,Student,"17.0""",IPS,AMD Ryzen 7,4GB,1TB HDD,NVIDIA RTX 4060,macOS,macOS 11,1.81,821.62
MSI,MSI_447,Gaming,"14.4""",IPS,Intel i3,4GB,512GB SSD,Integrated,Windows,Windows 9,1.76,1225.4
Acer,Acer_776,Gaming,"13.5""",Retina,Intel i7,8GB,128GB SSD,NVIDIA RTX 4060,Windows,Windows 1,1.63,950.11
Apple,Apple_609,Business,"16.1""",IPS,Intel i3,32GB,128GB SSD,NVIDIA RTX 3050,Windows,Windows 2,2.26,861.53
HP,HP_152,Student,"14.9""",LED,Intel i9,16GB,512GB SSD,NVIDIA RTX 3050,Windows,Windows 6,1.92,760.31
Apple,Apple_709,Ultrabook,"16.5""",Retina,Intel i3,4GB,1TB SSD,NVIDIA RTX 3050,macOS,macOS 3,2.48,789.87
Samsung,Samsung_810,Student,"17.0""",Retina,Intel i5,32GB,128GB SSD,NVIDIA RTX 3050,Windows,Windows 9,1.52,713.71
MSI,MSI_397,Ultrabook,"14.0""",Retina,Intel i5,32GB,128GB SSD,NVIDIA RTX 4060,Windows,Windows 2,3.49,1112.56
Samsung,Samsung_108,Gaming,"14.5""",Retina,Intel i7,32GB,128GB SSD,NVIDIA RTX 4060,Linux,Linux 1,1.4,1300.32
Acer,Acer_203,Student,"15.5""",Retina,AMD Ryzen 7,4GB,512GB SSD,Integrated,Windows,Windows 2,1.4,1073.15
Samsung,Samsung_780,Student,"16.1""",IPS,AMD Ryzen 7,4GB,1TB SSD,NVIDIA RTX 3050,Windows,Windows 1,2.36,794.77
Lenovo,Lenovo_982,Workstation,"15.1""",Retina,Intel i7,16GB,256GB SSD,AMD Radeon,macOS,macOS 1,2.44,1218.72
Asus,Asus_915,Ultrabook,"15.5""",Retina,Intel i3,32GB,128GB SSD,NVIDIA RTX 4060,macOS,macOS 5,3.21,1093.09
Apple,Apple_844,Workstation,"17.0""",IPS,AMD Ryzen 7,4GB,512GB SSD,NVIDIA RTX 4060,Windows,Windows 4,1.74,1709.11
Samsung,Samsung_422,Business,"15.4""",OLED,AMD Ryzen 7,8GB,512GB SSD,NVIDIA GTX 1650,Linux,Linux 6,1.9,831.57
MSI,MSI_254,Business,"16.8""",IPS,Intel i3,4GB,512GB SSD,AMD Radeon,macOS,macOS 7,2.05,1031.36
Apple,Apple_605,Gaming,"15.7""",Retina,Intel i3,32GB,1TB SSD,NVIDIA RTX 3050,Linux,Linux 12,2.45,912.82
Samsung,Samsung_826,Ultrabook,"15.0""",OLED,AMD Ryzen 7,4GB,256GB SSD,NVIDIA GTX 1650,macOS,macOS 1,1.09,1005.61
Apple,Apple_712,Gaming,"16.6""",Retina,Intel i9,32GB,1TB HDD,NVIDIA RTX 4060,macOS,macOS 4,2.03,1417.79
Lenovo,Lenovo_922,Student,"13.6""",LED,Intel i9,8GB,512GB SSD,Integrated,Linux,Linux 3,2.1,545.64
HP,HP_733,Gaming,"14.9""",Retina,AMD Ryzen 7,8GB,128GB SSD,AMD Radeon,Windows,Windows 1,3.39,1532.26
MSI,MSI_803,Workstation,"15.6""",OLED,Intel i7,32GB,256GB SSD,NVIDIA RTX 3050,Windows,Windows 6,1.04,1452.52
HP,HP_573,Workstation,"15.0""",IPS,AMD Ryzen 7,8GB,1TB HDD,NVIDIA GTX 1650,macOS,macOS 6,2.59,1874.4
HP,HP_279,Business,"15.7""",LED,Intel i3,32GB,1TB HDD,AMD Radeon,Linux,Linux 2,1.07,1029.43
Samsung,Samsung_789,Ultrabook,"15.8""",IPS,AMD Ryzen 5,16GB,512GB SSD,AMD Radeon,Linux,Linux 1,3.4,1125.22
HP,HP_142,Student,"14.2""",Retina,AMD Ryzen 7,8GB,1TB HDD,NVIDIA RTX 3050,macOS,macOS 3,1.84,468.9
HP,HP_701,Business,"14.1""",OLED,Intel i9,8GB,1TB HDD,NVIDIA GTX 1650,Windows,Windows 11,3.19,1214.02
Apple,Apple_828,Workstation,"17.2""",Retina,Intel i5,4GB,128GB SSD,NVIDIA RTX 3050,Windows,Windows 3,2.03,1755.53
Samsung,Samsung_762,Workstation,"14.0""",OLED,AMD Ryzen 5,16GB,128GB SSD,NVIDIA RTX 3050,Windows,Windows 1,2.34,1381.69
Apple,Apple_979,Gaming,"14.4""",OLED,Intel i7,4GB,1TB SSD,NVIDIA RTX 4060,Windows,Windows 9,3.12,1278.41
MSI,MSI_483,Student,"15.5""",OLED,AMD Ryzen 5,4GB,512GB SSD,NVIDIA RTX 4060,Windows,Windows 4,2.68,675.09
Apple,Apple_664,Gaming,"13.5""",IPS,Intel i5,8GB,256GB SSD,AMD Radeon,Linux,Linux 7,2.36,1377.8
Dell,Dell_352,Workstation,"14.0""",IPS,Intel i5,16GB,256GB SSD,NVIDIA GTX 1650,Windows,Windows 5,1.58,1599.21
Samsung,Samsung_595,Workstation,"14.6""",Retina,Intel i3,16GB,128GB SSD,AMD Radeon,macOS,macOS 12,1.21,1562.18
Lenovo,Lenovo_813,Business,"14.4""",LED,Intel i7,4GB,1TB HDD,NVIDIA GTX 1650,macOS,macOS 10,2.85,1195.07
Samsung,Samsung_928,Gaming,"16.2""",OLED,AMD Ryzen 5,32GB,128GB SSD,NVIDIA RTX 4060,Windows,Windows 9,3.17,1244.82
Asus,Asus_775,Ultrabook,"16.0""",IPS,Intel i5,16GB,128GB SSD,Integrated,macOS,macOS 1,2.57,1102.52
Acer,Acer_358,Gaming,"16.9""",LED,AMD Ryzen 7,32GB,1TB SSD,AMD Radeon,macOS,macOS 12,2.62,929.51
Apple,Apple_831,Workstation,"17.2""",Retina,Intel i7,8GB,128GB SSD,Integrated,Windows,Windows 5,3.03,1388.32
Apple,Apple_851,Workstation,"13.6""",OLED,AMD Ryzen 5,8GB,256GB SSD,NVIDIA RTX 3050,Windows,Windows 9,2.05,1735.89
Samsung,Samsung_338,Gaming,"14.6""",LED,Intel i3,8GB,512GB SSD,NVIDIA RTX 3050,Windows,Windows 1,2.17,1106.16
Lenovo,Lenovo_610,Gaming,"13.1""",OLED,AMD Ryzen 7,32GB,128GB SSD,AMD Radeon,Linux,Linux 5,3.49,1503.25
Asus,Asus_813,Business,"14.6""",IPS,AMD Ryzen 7,4GB,128GB SSD,NVIDIA RTX 3050,Windows,Windows 4,1.57,962.49
Dell,Dell_587,Business,"14.5""",Retina,Intel i5,8GB,256GB SSD,NVIDIA RTX 3050,Linux,Linux 2,3.13,1312.15
Acer,Acer_862,Gaming,"15.5""",OLED,AMD Ryzen 5,4GB,256GB SSD,NVIDIA RTX 3050,Linux,Linux 7,1.34,1551.07
Apple,Apple_837,Business,"15.5""",LED,Intel i7,16GB,256GB SSD,NVIDIA RTX 4060,Windows,Windows 6,2.13,847.35
HP,HP_662,Gaming,"17.1""",Retina,Intel i5,32GB,128GB SSD,NVIDIA GTX 1650,Windows,Windows 12,1.17,1306.96
Asus,Asus_645,Workstation,"14.5""",LED,Intel i7,16GB,512GB SSD,NVIDIA RTX 3050,Linux,Linux 9,2.15,1147.17
Samsung,Samsung_619,Student,"13.8""",Retina,Intel i3,16GB,512GB SSD,NVIDIA RTX 3050,Windows,Windows 2,2.5,999.98
Lenovo,Lenovo_502,Workstation,"13.7""",Retina,Intel i5,4GB,1TB HDD,Integrated,Windows,Windows 9,1.89,1256.3
HP,HP_348,Gaming,"16.0""",Retina,AMD Ryzen 7,16GB,1TB HDD,Integrated,macOS,macOS 4,3.02,967.93
Dell,Dell_966,Workstation,"17.2""",OLED,AMD Ryzen 7,8GB,256GB SSD,NVIDIA RTX 4060,Linux,Linux 8,2.8,1580.04
MSI,MSI_849,Ultrabook,"15.3""",IPS,Intel i5,8GB,512GB SSD,NVIDIA RTX 3050,Linux,Linux 9,2.84,943.1
Apple,Apple_813,Gaming,"16.6""",LED,Intel i5,8GB,1TB SSD,Integrated,Windows,Windows 4,2.18,1468.62
HP,HP_210,Student,"15.3""",LED,Intel i3,32GB,512GB SSD,NVIDIA GTX 1650,Windows,Windows 5,1.91,438.47
HP,HP_419,Business,"14.1""",OLED,AMD Ryzen 5,8GB,1TB HDD,Integrated,Windows,Windows 5,1.25,808.38
Apple,Apple_449,Ultrabook,"13.4""",LED,Intel i3,16GB,512GB SSD,NVIDIA RTX 3050,Linux,Linux 8,2.74,974.8
Samsung,Samsung_322,Business,"15.5""",OLED,Intel i9,16GB,128GB SSD,NVIDIA RTX 3050,macOS,macOS 9,2.8,550.77
Asus,Asus_399,Workstation,"13.8""",LED,Intel i9,16GB,1TB SSD,Integrated,Windows,Windows 12,1.29,2023.34
HP,HP_753,Workstation,"15.2""",OLED,Intel i9,4GB,512GB SSD,NVIDIA RTX 3050,Windows,Windows 6,1.84,1379.61
Asus,Asus_428,Gaming,"13.5""",OLED,AMD Ryzen 7,16GB,512GB SSD,Integrated,Windows,Windows 12,3.41,1352.05
Acer,Acer_984,Ultrabook,"17.0""",Retina,Intel i7,16GB,128GB SSD,NVIDIA RTX 4060,Windows,Windows 8,3.07,1252.57
Lenovo,Lenovo_824,Workstation,"16.5""",OLED,AMD Ryzen 7,8GB,1TB SSD,Integrated,Windows,Windows 10,1.98,1627.59
Samsung,Samsung_939,Ultrabook,"15.7""",IPS,Intel i3,4GB,128GB SSD,Integrated,Linux,Linux 7,2.33,642.19
Lenovo,Lenovo_490,Ultrabook,"14.4""",Retina,Intel i9,16GB,1TB HDD,Integrated,macOS,macOS 7,2.43,1386.5
Asus,Asus_649,Gaming,"14.3""",IPS,Intel i7,16GB,128GB SSD,NVIDIA RTX 4060,macOS,macOS 2,2.91,1130.49
Acer,Acer_258,Student,"15.0""",Retina,AMD Ryzen 5,32GB,1TB HDD,AMD Radeon,Linux,Linux 4,2.81,865.83
HP,HP_510,Ultrabook,"16.0""",Retina,Intel i5,16GB,512GB SSD,AMD Radeon,Linux,Linux 10,1.86,1018.61
HP,HP_401,Ultrabook,"13.7""",IPS,AMD Ryzen 7,8GB,128GB SSD,Integrated,Linux,Linux 8,3.18,809.56
Apple,Apple_455,Student,"16.4""",IPS,Intel i5,4GB,1TB SSD,NVIDIA GTX 1650,Windows,Windows 6,1.19,574.52
Apple,Apple_281,Gaming,"14.4""",LED,Intel i7,32GB,1TB HDD,Integrated,Windows,Windows 9,1.51,1100.92
Dell,Dell_216,Business,"14.4""",OLED,Intel i9,4GB,256GB SSD,NVIDIA RTX 3050,macOS,macOS 2,2.16,1068.11
Samsung,Samsung_975,Ultrabook,"13.6""",Retina,Intel i3,16GB,1TB SSD,AMD Radeon,Windows,Windows 1,2.95,1092.3
Lenovo,Lenovo_761,Business,"13.1""",IPS,Intel i3,16GB,128GB SSD,NVIDIA RTX 4060,Windows,Windows 1,2.39,921.97
Samsung,Samsung_660,Gaming,"14.3""",LED,Intel i7,16GB,512GB SSD,AMD Radeon,Windows,Windows 8,2.47,1425.93
Dell,Dell_689,Ultrabook,"14.9""",LED,AMD Ryzen 7,32GB,128GB SSD,NVIDIA GTX 1650,macOS,macOS 6,2.91,1040.27
MSI,MSI_970,Ultrabook,"14.6""",LED,Intel i7,8GB,256GB SSD,NVIDIA RTX 4060,Windows,Windows 7,3.45,956.84
Samsung,Samsung_277,Workstation,"14.8""",IPS,Intel i7,32GB,512GB SSD,AMD Radeon,macOS,macOS 9,3.0,1600.1
MSI,MSI_363,Business,"16.5""",Retina,AMD Ryzen 7,32GB,512GB SSD,NVIDIA RTX 4060,Windows,Windows 6,1.51,689.35
MSI,MSI_922,Business,"13.1""",OLED,Intel i3,16GB,1TB HDD,NVIDIA RTX 3050,Windows,Windows 3,2.46,1084.81
